"","Date","Opp","Result","GS","MP","FG","FGA","TwoP","TwoPA","ThreeP","ThreePA","FT","FTA","FTper","TSper","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","BPM"
"1082","2011-02-27","OKC","W 90-87",TRUE,37,"(-0.9,0.593]","(-0.00504,1.45]","(-0.964,0.234]","(-0.0334,1.23]","[-0.948,0.677]","(-0.00954,1.44]","[-1.64,-0.464]","[-1.71,-0.504]","[-3.71,-2.79]","(-1.83,-0.244]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","(0.715,1.95]","[-1.16,-0.069]","[-0.65,0.68]","(-0.45,0.723]","(-0.102,0.753]","[-2.37,-0.793]","(-1.83,-0.439]"
"1083","2011-03-01","MIN","W 90-79",TRUE,32,"(-0.9,0.593]","(-1.46,-0.00504]","(-0.964,0.234]","(-1.29,-0.0334]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","(-0.45,0.723]","(-0.958,-0.102]","(-0.793,0.779]","(-0.439,0.949]"
"1084","2011-03-04","CHA","W 92-84",TRUE,31,"(-0.9,0.593]","(-0.00504,1.45]","(-0.964,0.234]","(-0.0334,1.23]","[-0.948,0.677]","(-0.00954,1.44]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-1.83,-0.244]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","(-0.45,0.723]","(-0.958,-0.102]","(-0.793,0.779]","(-0.439,0.949]"
"1085","2011-03-06","SAS","W 99-83",TRUE,31,"(0.593,2.09]","(-0.00504,1.45]","(0.234,1.43]","(-0.0334,1.23]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.0421,0.879]","(-1.83,-0.244]","(0.398,1.78]","(-0.679,0.399]","(0.373,1.54]","(-0.517,0.715]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","(-0.958,-0.102]","(-0.793,0.779]","(-0.439,0.949]"
"1086","2011-03-08","ATL","W 101-87",TRUE,32,"(-0.9,0.593]","(-1.46,-0.00504]","(-0.964,0.234]","(-1.29,-0.0334]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(0.694,1.89]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","(-0.517,0.715]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","[-1.82,-0.958]","(-0.793,0.779]","(-0.439,0.949]"
"1087","2011-03-10","MIA","L 88-94",TRUE,40,"(-0.9,0.593]","(-0.00504,1.45]","[-2.17,-0.964]","(-1.29,-0.0334]","(0.677,2.29]","(-0.00954,1.44]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.0421,0.879]","(-1.83,-0.244]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","(-0.45,0.723]","(-0.102,0.753]","(-0.793,0.779]","(-1.83,-0.439]"
"1088","2011-03-12","DAL","W 96-91",TRUE,33,"(-0.9,0.593]","(-1.46,-0.00504]","(-0.964,0.234]","(-0.0334,1.23]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.0421,0.879]","(-1.83,-0.244]","(0.398,1.78]","(-0.679,0.399]","(-0.794,0.373]","(-0.517,0.715]","(1.01,2.1]","[-0.65,0.68]","[-1.63,-0.45]","[-1.82,-0.958]","[-2.37,-0.793]","(-0.439,0.949]"
"1089","2011-03-14","ORL","W 97-84",TRUE,31,"(-0.9,0.593]","(-1.46,-0.00504]","(-0.964,0.234]","(-0.0334,1.23]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.0421,0.879]","(-1.83,-0.244]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","(-0.517,0.715]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","[-1.82,-0.958]","[-2.37,-0.793]","(-1.83,-0.439]"
"1090","2011-03-18","MIN","W 106-98",TRUE,28,"(-0.9,0.593]","(-1.46,-0.00504]","[-2.17,-0.964]","(-1.29,-0.0334]","[-0.948,0.677]","(-0.00954,1.44]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.0421,0.879]","(-1.83,-0.244]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","(-0.517,0.715]","[-1.16,-0.069]","[-0.65,0.68]","(-0.45,0.723]","(-0.958,-0.102]","(-0.793,0.779]","(-1.83,-0.439]"
"1091","2011-03-20","POR","W 84-80",TRUE,33,"(-0.9,0.593]","(-1.46,-0.00504]","(-0.964,0.234]","(-1.29,-0.0334]","[-0.948,0.677]","(-0.00954,1.44]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","(-0.45,0.723]","[-1.82,-0.958]","(-0.793,0.779]","(-0.439,0.949]"
"1092","2011-03-22","PHO","W 139-137 (3OT)",TRUE,48,"(0.593,2.09]","(1.45,2.91]","(0.234,1.43]","(1.23,2.49]","(0.677,2.29]","(-0.00954,1.44]","(-0.464,0.705]","(0.694,1.89]","(-0.0421,0.879]","(-0.244,1.34]","(0.398,1.78]","(1.48,2.56]","(1.54,2.71]","(0.715,1.95]","[-1.16,-0.069]","[-0.65,0.68]","(-0.45,0.723]","[-1.82,-0.958]","(0.779,2.35]","(-0.439,0.949]"
"1093","2011-03-25","LAC","W 112-104",TRUE,35,"(-0.9,0.593]","(-0.00504,1.45]","(0.234,1.43]","(-0.0334,1.23]","[-0.948,0.677]","(-0.00954,1.44]","(1.87,3.04]","(1.89,3.09]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","(-0.517,0.715]","(-0.069,1.01]","[-0.65,0.68]","(-0.45,0.723]","[-1.82,-0.958]","(0.779,2.35]","(-0.439,0.949]"
"1094","2011-03-27","NOH","W 102-84",TRUE,36,"(-0.9,0.593]","(-0.00504,1.45]","(0.234,1.43]","(-0.0334,1.23]","[-0.948,0.677]","(-0.00954,1.44]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","(-0.517,0.715]","(-0.069,1.01]","[-0.65,0.68]","[-1.63,-0.45]","(-0.958,-0.102]","(-0.793,0.779]","(0.949,2.34]"
"1095","2011-03-31","DAL","W 110-82",TRUE,30,"(-0.9,0.593]","(-0.00504,1.45]","(-0.964,0.234]","(-0.0334,1.23]","[-0.948,0.677]","(-0.00954,1.44]","(0.705,1.87]","(0.694,1.89]","(-0.959,-0.0421]","(-1.83,-0.244]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","(-0.517,0.715]","(-0.069,1.01]","[-0.65,0.68]","(-0.45,0.723]","[-1.82,-0.958]","(-0.793,0.779]","(-0.439,0.949]"
"1096","2011-04-01","UTA","W 96-85",TRUE,31,"(-0.9,0.593]","(-1.46,-0.00504]","[-2.17,-0.964]","(-1.29,-0.0334]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.959,-0.0421]","(-0.244,1.34]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","(-0.517,0.715]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","[-1.82,-0.958]","(-0.793,0.779]","(-0.439,0.949]"
"1097","2011-04-03","DEN","L 90-95",TRUE,38,"(-0.9,0.593]","(-0.00504,1.45]","(0.234,1.43]","(-0.0334,1.23]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-1.83,-0.244]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","(-0.517,0.715]","(1.01,2.1]","[-0.65,0.68]","[-1.63,-0.45]","[-1.82,-0.958]","(-0.793,0.779]","(-0.439,0.949]"
"1098","2011-04-05","UTA","L 85-86",TRUE,34,"(-0.9,0.593]","(-1.46,-0.00504]","[-2.17,-0.964]","(-1.29,-0.0334]","[-0.948,0.677]","(-0.00954,1.44]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-1.83,-0.244]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","(-0.517,0.715]","[-1.16,-0.069]","[-0.65,0.68]","(1.9,3.07]","(1.61,2.47]","(-0.793,0.779]","(-1.83,-0.439]"
"1099","2011-04-06","GSW","L 87-95",TRUE,32,"(-0.9,0.593]","(-1.46,-0.00504]","(0.234,1.43]","(-1.29,-0.0334]","[-0.948,0.677]","(-0.00954,1.44]","[-1.64,-0.464]","(-0.504,0.694]","(-0.959,-0.0421]","(-0.244,1.34]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","[-1.76,-0.517]","(1.01,2.1]","[-0.65,0.68]","(-0.45,0.723]","[-1.82,-0.958]","(-0.793,0.779]","(-0.439,0.949]"
"1100","2011-04-08","POR","L 86-93",TRUE,32,"(-0.9,0.593]","(-0.00504,1.45]","(-0.964,0.234]","(-0.0334,1.23]","(0.677,2.29]","(-0.00954,1.44]","[-1.64,-0.464]","[-1.71,-0.504]","[-3.71,-2.79]","(-1.83,-0.244]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","(-0.517,0.715]","[-1.16,-0.069]","[-0.65,0.68]","(-0.45,0.723]","(-0.958,-0.102]","(-0.793,0.779]","(-0.439,0.949]"
"1101","2011-04-10","OKC","L 106-120",TRUE,31,"(-0.9,0.593]","(-1.46,-0.00504]","(-0.964,0.234]","(-1.29,-0.0334]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-0.244,1.34]","(0.398,1.78]","[-1.76,-0.679]","(-0.794,0.373]","(-0.517,0.715]","(1.01,2.1]","[-0.65,0.68]","(-0.45,0.723]","(-0.102,0.753]","(-0.793,0.779]","(0.949,2.34]"
"1102","2011-04-12","SAS","W 102-93",TRUE,37,"(-0.9,0.593]","(-0.00504,1.45]","(-0.964,0.234]","(-1.29,-0.0334]","[-0.948,0.677]","(-0.00954,1.44]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-0.244,1.34]","(0.398,1.78]","(-0.679,0.399]","(-0.794,0.373]","(-0.517,0.715]","[-1.16,-0.069]","[-0.65,0.68]","(-0.45,0.723]","(1.61,2.47]","(-0.793,0.779]","(-1.83,-0.439]"
"1103","2011-04-13","SAC","W 116-108 (OT)",TRUE,38,"(0.593,2.09]","(-0.00504,1.45]","(0.234,1.43]","(-0.0334,1.23]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-0.244,1.34]","(0.398,1.78]","(0.399,1.48]","(0.373,1.54]","(-0.517,0.715]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","[-1.82,-0.958]","(0.779,2.35]","(0.949,2.34]"
"1104","2011-12-25","CHI","L 87-88",TRUE,35,"(-0.9,0.593]","(-0.00504,1.45]","(0.234,1.43]","(-0.0334,1.23]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","(0.399,1.48]","(0.373,1.54]","(-0.517,0.715]","(-0.069,1.01]","[-0.65,0.68]","(1.9,3.07]","(-0.102,0.753]","(-0.793,0.779]","(-1.83,-0.439]"
"1105","2011-12-26","SAC","L 91-100",TRUE,38,"(-0.9,0.593]","(-0.00504,1.45]","(0.234,1.43]","(-0.0334,1.23]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-1.83,-0.244]","(0.398,1.78]","(-0.679,0.399]","(-0.794,0.373]","(-0.517,0.715]","(-0.069,1.01]","[-0.65,0.68]","[-1.63,-0.45]","(0.753,1.61]","(-0.793,0.779]","(-0.439,0.949]"
"1106","2011-12-27","UTA","W 96-71",TRUE,31,"(-0.9,0.593]","(-1.46,-0.00504]","(-0.964,0.234]","(-1.29,-0.0334]","(0.677,2.29]","(-0.00954,1.44]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","(1.48,2.56]","(0.373,1.54]","(-0.517,0.715]","[-1.16,-0.069]","[-0.65,0.68]","(-0.45,0.723]","[-1.82,-0.958]","(-0.793,0.779]","(0.949,2.34]"
"1107","2011-12-29","NYK","W 99-82",TRUE,34,"(-0.9,0.593]","(-1.46,-0.00504]","(0.234,1.43]","(-1.29,-0.0334]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.959,-0.0421]","(-0.244,1.34]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","(-0.517,0.715]","[-1.16,-0.069]","[-0.65,0.68]","(0.723,1.9]","(-0.102,0.753]","(-0.793,0.779]","(-0.439,0.949]"
"1108","2011-12-31","DEN","W 92-89",TRUE,33,"(-0.9,0.593]","(-1.46,-0.00504]","(-0.964,0.234]","(-1.29,-0.0334]","[-0.948,0.677]","(-0.00954,1.44]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-1.83,-0.244]","(0.398,1.78]","(1.48,2.56]","(1.54,2.71]","(0.715,1.95]","[-1.16,-0.069]","[-0.65,0.68]","(-0.45,0.723]","(0.753,1.61]","[-2.37,-0.793]","(-0.439,0.949]"
"1109","2012-01-01","DEN","L 90-99",TRUE,37,"(-0.9,0.593]","(-0.00504,1.45]","(-0.964,0.234]","(-0.0334,1.23]","[-0.948,0.677]","(-0.00954,1.44]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.959,-0.0421]","[-3.42,-1.83]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","(-0.517,0.715]","[-1.16,-0.069]","[-0.65,0.68]","(0.723,1.9]","(-0.102,0.753]","[-2.37,-0.793]","[-3.22,-1.83]"
"1110","2012-01-03","HOU","W 108-99",TRUE,37,"(0.593,2.09]","(-0.00504,1.45]","(0.234,1.43]","(-0.0334,1.23]","[-0.948,0.677]","(-0.00954,1.44]","(-0.464,0.705]","(-0.504,0.694]","(-0.959,-0.0421]","(-0.244,1.34]","(0.398,1.78]","(0.399,1.48]","(0.373,1.54]","(-0.517,0.715]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","[-1.82,-0.958]","(0.779,2.35]","(-0.439,0.949]"
"1111","2012-01-05","POR","L 96-107",TRUE,36,"(0.593,2.09]","(-0.00504,1.45]","(1.43,2.63]","(-0.0334,1.23]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.0421,0.879]","(-0.244,1.34]","(0.398,1.78]","(0.399,1.48]","(0.373,1.54]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","(-0.45,0.723]","(-0.958,-0.102]","(-0.793,0.779]","(-0.439,0.949]"
"1112","2012-01-06","GSW","W 97-90",TRUE,41,"(0.593,2.09]","(-0.00504,1.45]","(0.234,1.43]","(1.23,2.49]","[-0.948,0.677]","[-1.46,-0.00954]","(0.705,1.87]","(0.694,1.89]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","(0.715,1.95]","[-1.16,-0.069]","[-0.65,0.68]","(-0.45,0.723]","[-1.82,-0.958]","(0.779,2.35]","(-0.439,0.949]"
"1113","2012-01-08","MEM","W 90-82",TRUE,38,"(-0.9,0.593]","(-0.00504,1.45]","(0.234,1.43]","(-0.0334,1.23]","[-0.948,0.677]","(-0.00954,1.44]","[-1.64,-0.464]","(-0.504,0.694]","(-1.88,-0.959]","(-0.244,1.34]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","(0.715,1.95]","[-1.16,-0.069]","[-0.65,0.68]","(-0.45,0.723]","[-1.82,-0.958]","(-0.793,0.779]","(-0.439,0.949]"
"1114","2012-01-10","PHO","W 99-83",TRUE,39,"(2.09,3.58]","(1.45,2.91]","(2.63,3.83]","(1.23,2.49]","[-0.948,0.677]","[-1.46,-0.00954]","(0.705,1.87]","(0.694,1.89]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","[-1.76,-0.517]","(1.01,2.1]","[-0.65,0.68]","[-1.63,-0.45]","(-0.958,-0.102]","(0.779,2.35]","(0.949,2.34]"
"1115","2012-01-11","UTA","W 90-87 (OT)",TRUE,43,"(0.593,2.09]","(1.45,2.91]","(1.43,2.63]","(1.23,2.49]","[-0.948,0.677]","[-1.46,-0.00954]","(0.705,1.87]","(0.694,1.89]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","(0.399,1.48]","(0.373,1.54]","(-0.517,0.715]","[-1.16,-0.069]","[-0.65,0.68]","(-0.45,0.723]","(-0.102,0.753]","(0.779,2.35]","(0.949,2.34]"
"1116","2012-01-13","CLE","W 97-92",TRUE,41,"(0.593,2.09]","(1.45,2.91]","(0.234,1.43]","(1.23,2.49]","(0.677,2.29]","(-0.00954,1.44]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-0.244,1.34]","(0.398,1.78]","[-1.76,-0.679]","(-0.794,0.373]","[-1.76,-0.517]","(1.01,2.1]","[-0.65,0.68]","(0.723,1.9]","(-0.102,0.753]","(0.779,2.35]","(-0.439,0.949]"
"1117","2012-01-14","LAC","L 94-102",TRUE,44,"(0.593,2.09]","(-0.00504,1.45]","(0.234,1.43]","(-0.0334,1.23]","[-0.948,0.677]","(-0.00954,1.44]","(0.705,1.87]","(0.694,1.89]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","(0.399,1.48]","(0.373,1.54]","(-0.517,0.715]","(-0.069,1.01]","[-0.65,0.68]","[-1.63,-0.45]","(-0.102,0.753]","(0.779,2.35]","(0.949,2.34]"
"1118","2012-01-16","DAL","W 73-70",TRUE,38,"(-0.9,0.593]","(-0.00504,1.45]","(-0.964,0.234]","(-0.0334,1.23]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","[-3.71,-2.79]","[-3.42,-1.83]","[-0.995,0.398]","(-0.679,0.399]","[-1.97,-0.794]","(0.715,1.95]","(1.01,2.1]","[-0.65,0.68]","(-0.45,0.723]","[-1.82,-0.958]","[-2.37,-0.793]","(-1.83,-0.439]"
"1119","2012-01-19","MIA","L 87-98",TRUE,41,"(-0.9,0.593]","(-0.00504,1.45]","(-0.964,0.234]","(-1.29,-0.0334]","(0.677,2.29]","(-0.00954,1.44]","(-0.464,0.705]","[-1.71,-0.504]","(-0.0421,0.879]","(-1.83,-0.244]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","(0.715,1.95]","(1.01,2.1]","[-0.65,0.68]","[-1.63,-0.45]","[-1.82,-0.958]","(-0.793,0.779]","(-0.439,0.949]"
"1120","2012-01-20","ORL","L 80-92",TRUE,44,"(-0.9,0.593]","(-0.00504,1.45]","(0.234,1.43]","(-0.0334,1.23]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-0.244,1.34]","(0.398,1.78]","[-1.76,-0.679]","[-1.97,-0.794]","(0.715,1.95]","[-1.16,-0.069]","[-0.65,0.68]","(-0.45,0.723]","[-1.82,-0.958]","(-0.793,0.779]","(-0.439,0.949]"
"1121","2012-01-22","IND","L 96-98",TRUE,36,"(0.593,2.09]","(-0.00504,1.45]","(1.43,2.63]","(1.23,2.49]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-1.83,-0.244]","(1.78,3.17]","(-0.679,0.399]","(0.373,1.54]","(-0.517,0.715]","[-1.16,-0.069]","[-0.65,0.68]","(-0.45,0.723]","(-0.958,-0.102]","(-0.793,0.779]","(-0.439,0.949]"
"1122","2012-01-25","LAC","W 96-91",TRUE,39,"(-0.9,0.593]","(-1.46,-0.00504]","(-0.964,0.234]","(-1.29,-0.0334]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","(0.399,1.48]","(0.373,1.54]","(-0.517,0.715]","[-1.16,-0.069]","[-0.65,0.68]","(1.9,3.07]","(-0.958,-0.102]","(-0.793,0.779]","(-1.83,-0.439]"
"1123","2012-01-28","MIL","L 89-100",TRUE,42,"(-0.9,0.593]","(-0.00504,1.45]","(0.234,1.43]","(-0.0334,1.23]","[-0.948,0.677]","(-0.00954,1.44]","(-0.464,0.705]","(-0.504,0.694]","(-0.0421,0.879]","(-0.244,1.34]","(0.398,1.78]","(-0.679,0.399]","(0.373,1.54]","(0.715,1.95]","(-0.069,1.01]","[-0.65,0.68]","(-0.45,0.723]","(0.753,1.61]","(-0.793,0.779]","(-0.439,0.949]"
"1124","2012-01-29","MIN","W 106-101",TRUE,42,"(0.593,2.09]","(-0.00504,1.45]","(0.234,1.43]","(-0.0334,1.23]","(2.29,3.91]","(1.44,2.88]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.0421,0.879]","(-0.244,1.34]","(0.398,1.78]","(2.56,3.64]","(2.71,3.88]","[-1.76,-0.517]","[-1.16,-0.069]","(0.68,2]","(-0.45,0.723]","(-0.958,-0.102]","(0.779,2.35]","(-0.439,0.949]"
"1125","2012-01-31","CHA","W 106-73",TRUE,28,"(-0.9,0.593]","(-0.00504,1.45]","(-0.964,0.234]","(-1.29,-0.0334]","[-0.948,0.677]","(1.44,2.88]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.0421,0.879]","(-1.83,-0.244]","[-0.995,0.398]","(-0.679,0.399]","[-1.97,-0.794]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","(-0.45,0.723]","[-1.82,-0.958]","(-0.793,0.779]","(-1.83,-0.439]"
"1126","2012-02-03","DEN","W 93-89",TRUE,38,"(-0.9,0.593]","(-0.00504,1.45]","(-0.964,0.234]","(-0.0334,1.23]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.959,-0.0421]","(-1.83,-0.244]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","(0.715,1.95]","(-0.069,1.01]","[-0.65,0.68]","[-1.63,-0.45]","[-1.82,-0.958]","(-0.793,0.779]","(-0.439,0.949]"
"1127","2012-02-04","UTA","L 87-96",TRUE,38,"(-0.9,0.593]","(-1.46,-0.00504]","[-2.17,-0.964]","(-1.29,-0.0334]","(0.677,2.29]","(-0.00954,1.44]","(0.705,1.87]","(0.694,1.89]","(-0.0421,0.879]","(-0.244,1.34]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","(-0.45,0.723]","(0.753,1.61]","(-0.793,0.779]","(-0.439,0.949]"
"1128","2012-02-06","PHI","L 90-95",TRUE,44,"(-0.9,0.593]","(-0.00504,1.45]","(-0.964,0.234]","(-0.0334,1.23]","(0.677,2.29]","(1.44,2.88]","[-1.64,-0.464]","[-1.71,-0.504]","(-0.0421,0.879]","(-1.83,-0.244]","(0.398,1.78]","[-1.76,-0.679]","(-0.794,0.373]","(-0.517,0.715]","(-0.069,1.01]","[-0.65,0.68]","(0.723,1.9]","(-0.102,0.753]","(-0.793,0.779]","(-0.439,0.949]"
"1129","2012-02-09","BOS","W 88-87 (OT)",TRUE,44,"(-0.9,0.593]","(-0.00504,1.45]","(0.234,1.43]","(-0.0334,1.23]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","[-1.71,-0.504]","(-0.0421,0.879]","(-1.83,-0.244]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","(-0.517,0.715]","[-1.16,-0.069]","[-0.65,0.68]","[-1.63,-0.45]","[-1.82,-0.958]","(-0.793,0.779]","(-0.439,0.949]"
"1130","2012-02-10","NYK","L 85-92",TRUE,42,"(-0.9,0.593]","(-0.00504,1.45]","(0.234,1.43]","(1.23,2.49]","[-0.948,0.677]","(-0.00954,1.44]","(0.705,1.87]","(0.694,1.89]","(-0.0421,0.879]","(-1.83,-0.244]","(0.398,1.78]","(0.399,1.48]","(1.54,2.71]","[-1.76,-0.517]","[-1.16,-0.069]","[-0.65,0.68]","(-0.45,0.723]","[-1.82,-0.958]","(0.779,2.35]","(-0.439,0.949]"
"1131","2012-02-12","TOR","W 94-92",TRUE,34,"(-0.9,0.593]","(-0.00504,1.45]","(-0.964,0.234]","(-0.0334,1.23]","(0.677,2.29]","(-0.00954,1.44]","(-0.464,0.705]","(-0.504,0.694]","(-0.959,-0.0421]","(-1.83,-0.244]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","[-1.76,-0.517]","(-0.069,1.01]","[-0.65,0.68]","(-0.45,0.723]","[-1.82,-0.958]","(-0.793,0.779]","(-1.83,-0.439]"
"1132","2012-02-14","ATL","W 86-78",TRUE,34,"[-2.4,-0.9]","(-1.46,-0.00504]","(-0.964,0.234]","(-1.29,-0.0334]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","[-3.71,-2.79]","[-3.42,-1.83]","[-0.995,0.398]","(-0.679,0.399]","(-0.794,0.373]","(-0.517,0.715]","[-1.16,-0.069]","[-0.65,0.68]","(0.723,1.9]","(-0.102,0.753]","[-2.37,-0.793]","[-3.22,-1.83]"
"1133","2012-02-17","PHO","W 111-99",TRUE,35,"(0.593,2.09]","(-0.00504,1.45]","(1.43,2.63]","(-0.0334,1.23]","[-0.948,0.677]","[-1.46,-0.00954]","(-0.464,0.705]","(-0.504,0.694]","(-0.959,-0.0421]","(-0.244,1.34]","[-0.995,0.398]","(1.48,2.56]","(0.373,1.54]","(-0.517,0.715]","(1.01,2.1]","[-0.65,0.68]","(-0.45,0.723]","[-1.82,-0.958]","(0.779,2.35]","(0.949,2.34]"
"1134","2012-02-19","PHO","L 90-102",TRUE,40,"(-0.9,0.593]","(-0.00504,1.45]","(0.234,1.43]","(-0.0334,1.23]","[-0.948,0.677]","(-0.00954,1.44]","(-0.464,0.705]","(0.694,1.89]","(-0.959,-0.0421]","(-0.244,1.34]","[-0.995,0.398]","(0.399,1.48]","(0.373,1.54]","(-0.517,0.715]","(-0.069,1.01]","[-0.65,0.68]","(3.07,4.25]","[-1.82,-0.958]","(-0.793,0.779]","(-1.83,-0.439]"
"1135","2012-02-20","POR","W 103-92",TRUE,36,"(0.593,2.09]","(-0.00504,1.45]","(0.234,1.43]","(-0.0334,1.23]","[-0.948,0.677]","[-1.46,-0.00954]","[-1.64,-0.464]","[-1.71,-0.504]","(-1.88,-0.959]","(-0.244,1.34]","[-0.995,0.398]","[-1.76,-0.679]","[-1.97,-0.794]","[-1.76,-0.517]","(1.01,2.1]","[-0.65,0.68]","(-0.45,0.723]","(-0.102,0.753]","(-0.793,0.779]","(-0.439,0.949]"
