Date,Sep,Opp,WL,TmScore,OppScore,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1997-12-26,,LAC,W,118,114,121.4,117.3,88.0,.455,.261,.559,45.1,71.4,8.2,17.8,.545,8.7,29.8,.250,.539,13.0,61.4,.202
1997-12-28,,BOS,L,102,108,105.0,111.2,97.1,.349,.140,.514,46.3,61.0,9.3,9.7,.488,13.9,30.2,.209,.483,10.5,64.1,.261
1997-12-30,,SAC,W,93,80,100.5,86.5,92.5,.389,.264,.551,52.3,78.1,5.4,10.0,.486,19.9,23.7,.319,.393,12.2,74.0,.167
1998-01-02,,ATL,W,116,106,119.4,109.1,97.1,.266,.202,.552,51.2,66.7,13.4,15.3,.548,9.5,38.6,.138,.489,14.3,64.3,.174
1998-01-04,,PHI,L,107,113,111.5,117.7,96.0,.402,.185,.494,51.6,54.8,10.4,7.8,.473,10.0,41.5,.217,.470,12.3,64.3,.422
1998-01-06,@,VAN,W,100,87,101.6,88.4,98.5,.378,.220,.523,48.5,68.6,13.2,13.7,.463,12.8,27.1,.293,.432,18.2,68.6,.125
1998-01-07,,MIL,W,114,102,111.3,99.6,102.4,.595,.108,.611,47.3,80.5,14.7,12.8,.568,18.4,25.0,.405,.463,17.9,68.4,.317
1998-01-09,@,LAC,W,125,115,128.7,118.4,97.2,.605,.173,.609,43.4,38.1,13.4,3.3,.562,8.9,25.6,.420,.514,13.4,62.2,.527
1998-01-11,,CHH,L,93,98,97.8,103.1,95.1,.408,.310,.555,42.9,79.4,7.4,10.1,.535,16.0,10.3,.239,.435,12.5,71.1,.298
1998-01-14,,DEN,W,132,114,136.1,117.5,97.0,.537,.183,.651,54.3,85.1,11.3,9.1,.598,15.1,52.8,.415,.466,12.3,55.6,.348
1998-01-17,,MIA,W,108,99,113.3,103.9,95.3,.794,.265,.588,56.3,56.7,7.3,14.0,.500,17.2,35.9,.588,.514,17.5,75.6,.311
1998-01-19,,ORL,W,92,89,100.6,97.3,91.5,.354,.305,.485,42.5,66.7,13.1,16.2,.457,12.1,30.4,.207,.445,18.4,58.8,.195
1998-01-21,@,PHO,W,119,109,123.0,112.7,96.7,.628,.244,.598,51.1,53.8,5.2,4.5,.558,9.9,25.0,.410,.528,7.4,76.1,.156
1998-01-24,@,SEA,L,95,101,101.2,107.5,93.9,.405,.286,.480,46.7,58.3,7.5,15.6,.446,10.0,24.0,.238,.457,10.4,73.8,.317
1998-01-28,,NJN,L,95,106,99.2,110.7,95.8,.256,.163,.496,49.0,64.1,9.4,15.8,.471,18.0,35.4,.163,.473,10.4,62.5,.181
1998-01-30,,MIN,W,121,114,126.4,119.1,95.7,.697,.237,.609,56.1,75.7,4.2,4.5,.546,13.9,42.5,.500,.500,10.7,69.0,.443
1998-02-01,,CHI,W,112,87,124.3,96.6,90.1,.432,.284,.581,48.9,69.0,11.1,5.2,.574,10.2,35.6,.235,.401,13.4,61.2,.209
1998-02-04,,POR,W,122,115,120.4,113.5,101.3,.526,.218,.635,47.1,60.5,9.9,9.1,.603,15.0,25.0,.359,.506,11.8,66.0,.281
1998-02-10,@,POR,L,105,117,106.3,118.5,98.8,.390,.220,.448,48.1,65.8,15.2,7.7,.410,7.9,39.4,.230,.506,15.4,61.9,.450
1998-02-11,,GSW,W,105,99,113.4,106.9,92.6,.449,.115,.562,48.4,67.5,7.6,9.2,.538,13.8,34.1,.269,.431,10.1,60.0,.119
1998-02-13,,SEA,L,108,113,110.4,115.5,88.6,.305,.263,.501,60.9,73.2,9.2,10.5,.458,12.9,40.4,.221,.603,10.7,87.5,.244
1998-02-15,,HOU,L,88,90,100.9,103.1,87.3,.284,.222,.483,50.0,64.7,9.2,9.1,.444,14.1,35.6,.198,.409,12.1,65.1,.280
1998-02-18,@,PHO,L,103,110,107.7,115.0,95.7,.521,.151,.574,53.1,58.3,9.4,4.1,.527,15.9,28.9,.356,.528,11.7,74.4,.193
1998-02-19,,DEN,W,131,92,128.7,90.4,101.8,.518,.271,.628,57.1,67.4,9.8,11.0,.594,11.8,32.6,.353,.431,14.4,82.2,.288
1998-02-22,@,ORL,L,94,96,110.3,112.6,85.3,.333,.205,.525,42.7,57.1,11.7,14.1,.494,11.0,30.2,.218,.494,15.1,56.4,.260
1998-02-24,@,MIL,W,98,81,110.7,91.5,88.5,.385,.128,.537,52.0,54.1,6.8,9.9,.500,11.6,29.8,.256,.398,7.5,70.9,.075
1998-02-25,@,IND,W,96,89,103.6,96.1,92.6,.408,.056,.573,51.2,52.8,9.7,11.6,.528,19.3,23.5,.296,.399,10.8,70.0,.202
1998-02-27,@,MIN,W,104,91,110.3,96.5,94.3,.425,.150,.548,52.4,73.7,4.2,12.5,.500,10.4,22.0,.300,.381,7.6,81.4,.321
1998-03-01,@,NYK,L,89,101,101.4,115.0,87.8,.466,.192,.506,49.4,46.7,5.7,3.4,.438,15.4,26.8,.342,.493,10.3,75.0,.437
1998-03-02,@,WAS,L,86,96,98.6,110.0,87.2,.262,.202,.459,57.0,67.6,8.0,5.2,.440,13.8,38.0,.143,.500,11.6,83.3,.352
1998-03-04,,IND,W,104,95,116.2,106.1,89.5,.877,.193,.658,59.2,64.5,3.4,16.2,.588,20.2,32.0,.649,.457,9.5,73.9,.259
1998-03-06,,SAS,W,91,84,103.0,95.0,88.4,.543,.157,.525,45.1,66.7,15.8,9.7,.457,15.6,28.6,.386,.442,17.5,69.0,.192
1998-03-08,,DET,W,96,89,112.0,103.8,85.7,.549,.141,.544,56.8,78.8,8.2,11.7,.472,14.5,40.5,.408,.468,12.1,74.4,.205
1998-03-11,,POR,W,121,107,134.4,118.8,90.1,.675,.221,.606,51.2,75.0,11.1,15.6,.526,11.5,46.5,.519,.511,10.6,56.1,.154
1998-03-12,@,LAC,W,108,85,111.2,87.5,97.1,.365,.176,.547,57.8,39.5,6.2,8.0,.553,15.4,37.0,.165,.380,7.9,73.0,.125
1998-03-15,@,VAN,W,119,110,126.6,117.0,94.0,.443,.190,.630,56.9,68.9,12.8,13.3,.614,12.9,34.3,.278,.572,13.6,78.4,.303
1998-03-16,@,SEA,L,89,101,106.0,120.3,84.0,.411,.274,.516,54.3,67.7,8.3,6.4,.473,14.0,34.2,.274,.562,12.9,78.1,.431
1998-03-18,,PHO,W,99,93,107.0,100.5,92.5,.434,.205,.501,54.3,72.2,6.5,5.6,.458,13.2,36.4,.277,.416,9.1,70.0,.213
1998-03-20,,SEA,W,93,80,102.9,88.5,90.4,.493,.284,.570,57.9,65.6,14.4,15.8,.530,21.3,35.3,.328,.459,22.2,76.2,.178
1998-03-22,@,SAC,W,96,93,104.1,100.8,92.2,.438,.213,.503,52.0,50.0,5.4,6.3,.456,15.9,39.5,.288,.397,10.4,61.4,.276
1998-03-23,@,DEN,W,107,86,122.6,98.5,87.3,.289,.229,.572,51.9,56.1,12.6,11.1,.530,8.8,28.2,.229,.514,16.7,76.3,.151
1998-03-25,,SAC,W,114,91,122.3,97.6,93.2,.468,.195,.614,62.4,66.7,7.5,11.1,.591,15.5,42.1,.299,.451,11.4,78.7,.207
1998-03-28,@,UTA,L,91,106,107.8,125.6,84.4,.469,.281,.589,35.4,67.7,13.0,9.7,.547,16.3,14.3,.328,.555,14.2,60.0,.342
1998-03-29,,WAS,W,116,89,112.8,86.5,102.8,.262,.119,.619,49.5,63.3,10.7,10.2,.607,17.6,23.7,.167,.368,10.9,65.1,.137
1998-03-31,@,TOR,W,114,105,113.2,104.2,100.7,.513,.263,.581,53.3,67.5,11.9,9.0,.538,14.8,31.7,.350,.494,16.2,70.6,.293
1998-04-02,@,NJN,W,117,106,122.0,110.6,95.9,.532,.143,.616,47.3,58.1,7.3,8.0,.578,15.2,35.0,.364,.462,10.9,56.9,.215
1998-04-03,@,CLE,W,105,93,117.7,104.3,89.2,.244,.179,.608,60.0,70.7,10.1,1.6,.571,17.2,38.2,.205,.487,13.9,78.0,.218
1998-04-05,@,DET,W,105,103,109.3,107.2,87.0,.297,.286,.510,46.9,41.0,12.5,9.6,.462,12.7,35.8,.231,.482,17.2,60.0,.247
1998-04-08,,VAN,W,113,102,113.1,102.1,99.9,.455,.216,.535,54.1,72.1,10.0,18.8,.523,11.7,38.5,.239,.460,13.8,71.7,.239
1998-04-10,,PHO,L,105,114,112.7,122.4,93.2,.391,.239,.487,50.0,67.6,8.6,10.0,.446,10.0,39.6,.250,.570,12.3,64.9,.304
1998-04-11,@,GSW,W,96,84,106.6,93.3,90.0,.403,.221,.530,56.0,65.7,6.7,8.3,.494,18.8,43.5,.260,.438,16.4,71.1,.292
1998-04-13,@,SAS,W,99,75,115.0,87.1,86.1,.493,.254,.607,50.5,56.8,8.1,7.0,.597,11.9,15.2,.284,.327,7.5,69.4,.238
1998-04-14,@,DAL,W,111,95,120.2,102.9,92.3,.244,.174,.583,61.5,53.3,5.4,4.1,.552,14.4,42.2,.186,.452,9.7,80.4,.241
