"Date","Opp","WL","TmFGper","Tm3Pper","TmFTper","OppFGper","Opp3Pper","OppFTper","FTr","TSper","TRBper","ASTper","STLper","BLKper","OffeFGper","OffTOVper","OffORBper","OffFT_d_FGA","DefeFGper","DefTOVper","DefDRBper","DefFT_d_FGA","HomeGame","PlayOff"
"1997-12-19","ATL",TRUE,0.463,0.188,0.704,0.458,0.348,0.571,0.329,0.522,0.5,0.474,0.111,0.117,0.482,0.113,0.341,0.232,0.506,0.148,0.667,0.145,FALSE,TRUE
"1997-12-20","CHH",TRUE,0.547,0.5,0.567,0.507,0.25,0.765,0.4,0.618,0.443,0.707,0.079,0.019,0.613,0.12,0.278,0.227,0.536,0.192,0.618,0.377,FALSE,TRUE
"1997-12-22","HOU",TRUE,0.474,0.286,0.7,0.385,0.292,0.842,0.256,0.541,0.434,0.514,0.114,0.056,0.513,0.147,0.25,0.179,0.429,0.188,0.605,0.205,FALSE,TRUE
"1997-12-26","LAC",TRUE,0.477,0.522,0.55,0.483,0.625,0.72,0.455,0.559,0.451,0.714,0.082,0.178,0.545,0.087,0.298,0.25,0.539,0.13,0.614,0.202,TRUE,FALSE
"1997-12-28","BOS",FALSE,0.477,0.167,0.6,0.455,0.313,0.697,0.349,0.514,0.463,0.61,0.093,0.097,0.488,0.139,0.302,0.209,0.483,0.105,0.641,0.261,TRUE,FALSE
"1997-12-30","SAC",TRUE,0.444,0.316,0.821,0.381,0.143,0.667,0.389,0.551,0.523,0.781,0.054,0.1,0.486,0.199,0.237,0.319,0.393,0.122,0.74,0.167,TRUE,FALSE
"1998-01-02","ATL",TRUE,0.511,0.368,0.52,0.446,0.4,0.727,0.266,0.552,0.512,0.667,0.134,0.153,0.548,0.095,0.386,0.138,0.489,0.143,0.643,0.174,TRUE,TRUE
"1998-01-04","PHI",FALSE,0.457,0.176,0.541,0.458,0.333,0.897,0.402,0.494,0.516,0.548,0.104,0.078,0.473,0.1,0.415,0.217,0.47,0.123,0.643,0.422,TRUE,FALSE
"1998-01-06","VAN",TRUE,0.427,0.333,0.774,0.409,0.267,0.458,0.378,0.523,0.485,0.686,0.132,0.137,0.463,0.128,0.271,0.293,0.432,0.182,0.686,0.125,FALSE,FALSE
"1998-01-07","MIL",TRUE,0.554,0.25,0.682,0.451,0.5,0.788,0.595,0.611,0.473,0.805,0.147,0.128,0.568,0.184,0.25,0.405,0.463,0.179,0.684,0.317,TRUE,FALSE
"1998-01-09","LAC",TRUE,0.519,0.5,0.694,0.486,0.308,0.75,0.605,0.609,0.434,0.381,0.134,0.033,0.562,0.089,0.256,0.42,0.514,0.134,0.622,0.527,FALSE,FALSE
"1998-01-11","CHH",FALSE,0.479,0.364,0.586,0.429,0.2,0.806,0.408,0.555,0.429,0.794,0.074,0.101,0.535,0.16,0.103,0.239,0.435,0.125,0.711,0.298,TRUE,TRUE
"1998-01-14","DEN",TRUE,0.573,0.267,0.773,0.427,0.583,0.756,0.537,0.651,0.543,0.851,0.113,0.091,0.598,0.151,0.528,0.415,0.466,0.123,0.556,0.348,TRUE,FALSE
